,Date,State/UnionTerritory,Confirmed,Density,Intensity
347,2020-03-25,Karnataka,41,319.0,0.12852664576802508
348,2020-03-25,Kerala,109,859.0,0.12689173457508732
349,2020-03-25,Madhya Pradesh,14,236.0,0.059322033898305086
350,2020-03-25,Maharashtra,128,365.0,0.3506849315068493
351,2020-03-25,Manipur,1,122.0,0.00819672131147541
352,2020-03-25,Mizoram,1,52.0,0.019230769230769232
353,2020-03-25,Odisha,2,269.0,0.007434944237918215
354,2020-03-25,Puducherry,1,2598.0,0.00038491147036181676
355,2020-03-25,Punjab,29,550.0,0.05272727272727273
356,2020-03-25,Rajasthan,36,201.0,0.1791044776119403
357,2020-03-25,Tamil Nadu,18,555.0,0.032432432432432434
358,2020-03-25,Telengana,35,312.0,0.11217948717948718
359,2020-03-25,Chandigarh,7,9252.0,0.0007565931690445309
360,2020-03-25,Jammu and Kashmir,7,98.0,0.07142857142857142
361,2020-03-25,Ladakh,13,2.8,4.642857142857143
362,2020-03-25,Uttar Pradesh,37,828.0,0.04468599033816425
363,2020-03-25,Uttarakhand,4,189.0,0.021164021164021163
364,2020-03-25,West Bengal,9,1029.0,0.008746355685131196
365,2020-03-26,Andaman and Nicobar Islands,1,46.0,0.021739130434782608
366,2020-03-26,Andhra Pradesh,11,303.0,0.036303630363036306
367,2020-03-26,Bihar,6,1102.0,0.0054446460980036296
368,2020-03-26,Chandigarh,7,9252.0,0.0007565931690445309
369,2020-03-26,Chhattisgarh,6,189.0,0.031746031746031744
370,2020-03-26,Delhi,36,11297.0,0.0031866867309905283
371,2020-03-26,Goa,3,394.0,0.007614213197969543
372,2020-03-26,Gujarat,43,308.0,0.1396103896103896
373,2020-03-26,Haryana,30,573.0,0.05235602094240838
374,2020-03-26,Himachal Pradesh,3,123.0,0.024390243902439025
375,2020-03-26,Jammu and Kashmir,13,98.0,0.1326530612244898
376,2020-03-26,Karnataka,55,319.0,0.1724137931034483
377,2020-03-26,Kerala,118,859.0,0.13736903376018628
378,2020-03-26,Ladakh,13,2.8,4.642857142857143
379,2020-03-26,Madhya Pradesh,20,236.0,0.0847457627118644
380,2020-03-26,Maharashtra,124,365.0,0.33972602739726027
381,2020-03-26,Manipur,1,122.0,0.00819672131147541
382,2020-03-26,Mizoram,1,52.0,0.019230769230769232
383,2020-03-26,Odisha,2,269.0,0.007434944237918215
